1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000043_gene3842,BBJK01000043_gene3842,Phosphate-binding&nbsp;protein&nbsp;PstS,83.7
1218084.BBJK01000083_gene5651,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,83.7
1218084.BBJK01000007_gene1059,BBJK01000007_gene1059,annotation&nbsp;not&nbsp;available,83.7
1218084.BBJK01000103_gene6456,BBJK01000103_gene6456,annotation&nbsp;not&nbsp;available,83.7
1218084.BBJK01000082_gene5612,BBJK01000082_gene5612,annotation&nbsp;not&nbsp;available,83.7
1218084.BBJK01000021_gene2265,BBJK01000021_gene2265,annotation&nbsp;not&nbsp;available,83.7
1218084.BBJK01000006_gene899,BBJK01000006_gene899,Chemotaxis&nbsp;protein&nbsp;methyltransferase,83.7
1218084.BBJK01000060_gene4645,BBJK01000060_gene4645,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000015_gene1599,BBJK01000015_gene1599,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000147_gene7479,BBJK01000147_gene7479,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000055_gene4299,BBJK01000055_gene4299,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000017_gene1852,BBJK01000017_gene1852,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000007_gene1003,BBJK01000007_gene1003,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000015_gene1554,BBJK01000015_gene1554,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000016_gene1792,BBJK01000016_gene1792,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000129_gene7109,BBJK01000129_gene7109,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000145_gene7437,BBJK01000145_gene7437,annotation&nbsp;not&nbsp;available,83.6
1218084.BBJK01000002_gene259,BBJK01000002_gene259,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000021_gene2255,BBJK01000021_gene2255,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,83.5
1218084.BBJK01000028_gene2713,BBJK01000028_gene2713,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000162_gene7746,BBJK01000162_gene7746,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000090_gene5975,BBJK01000090_gene5975,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000044_gene3918,BBJK01000044_gene3918,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000108_gene6649,BBJK01000108_gene6649,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000122_gene6922,BBJK01000122_gene6922,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000054_gene4182,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,83.5
1218084.BBJK01000208_gene8154,BBJK01000208_gene8154,2-methylisocitrate&nbsp;lyase,83.5
1218084.BBJK01000059_gene4587,BBJK01000059_gene4587,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000017_gene1911,BBJK01000017_gene1911,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000018_gene1972,BBJK01000018_gene1972,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000086_gene5818,BBJK01000086_gene5818,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000015_gene1558,BBJK01000015_gene1558,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000130_gene7122,BBJK01000130_gene7122,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000025_gene2484,BBJK01000025_gene2484,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000130_gene7130,BBJK01000130_gene7130,annotation&nbsp;not&nbsp;available,83.5
1218084.BBJK01000093_gene6078,BBJK01000093_gene6078,annotation&nbsp;not&nbsp;available,83.4
1218084.BBJK01000020_gene2147,BBJK01000020_gene2147,annotation&nbsp;not&nbsp;available,83.4
1218084.BBJK01000032_gene3155,tyrS,Tyrosine--tRNA&nbsp;ligase,83.4
1218084.BBJK01000102_gene6409,BBJK01000102_gene6409,annotation&nbsp;not&nbsp;available,83.4
1218084.BBJK01000156_gene7692,BBJK01000156_gene7692,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000037_gene3476,BBJK01000037_gene3476,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000051_gene4094,BBJK01000051_gene4094,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000129_gene7111,BBJK01000129_gene7111,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000109_gene6659,BBJK01000109_gene6659,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000019_gene2019,BBJK01000019_gene2019,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000094_gene6148,BBJK01000094_gene6148,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000016_gene1755,BBJK01000016_gene1755,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000050_gene4047,BBJK01000050_gene4047,annotation&nbsp;not&nbsp;available,83.3
1218084.BBJK01000032_gene3151,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,83.3
1218084.BBJK01000072_gene5065,BBJK01000072_gene5065,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000116_gene6816,argH,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000032_gene3068,rpmA,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000030_gene2845,BBJK01000030_gene2845,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000036_gene3416,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,83.2
1218084.BBJK01000123_gene6987,BBJK01000123_gene6987,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000161_gene7735,BBJK01000161_gene7735,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000083_gene5652,BBJK01000083_gene5652,annotation&nbsp;not&nbsp;available,83.2
1218084.BBJK01000028_gene2685,BBJK01000028_gene2685,annotation&nbsp;not&nbsp;available,83.1
1218084.BBJK01000017_gene1925,BBJK01000017_gene1925,annotation&nbsp;not&nbsp;available,83.1
1218084.BBJK01000038_gene3553,BBJK01000038_gene3553,annotation&nbsp;not&nbsp;available,83.1
1218084.BBJK01000174_gene7903,BBJK01000174_gene7903,Lipoyl&nbsp;synthase,83.1
1218084.BBJK01000057_gene4324,BBJK01000057_gene4324,annotation&nbsp;not&nbsp;available,83.1
1218084.BBJK01000007_gene1065,BBJK01000007_gene1065,annotation&nbsp;not&nbsp;available,83.1
1218084.BBJK01000020_gene2133,BBJK01000020_gene2133,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000169_gene7834,BBJK01000169_gene7834,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000094_gene6136,BBJK01000094_gene6136,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000001_gene75,BBJK01000001_gene75,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000002_gene175,BBJK01000002_gene175,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000032_gene3080,BBJK01000032_gene3080,Ribonucleoside-diphosphate&nbsp;reductase,83.0
1218084.BBJK01000036_gene3363,BBJK01000036_gene3363,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000150_gene7549,BBJK01000150_gene7549,annotation&nbsp;not&nbsp;available,83.0
1218084.BBJK01000001_gene79,BBJK01000001_gene79,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000031_gene2994,BBJK01000031_gene2994,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000102_gene6416,BBJK01000102_gene6416,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000011_gene1296,BBJK01000011_gene1296,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000099_gene6276,oppB,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000101_gene6337,BBJK01000101_gene6337,Ribose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;RbsA,82.9
1218084.BBJK01000077_gene5375,BBJK01000077_gene5375,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000020_gene2137,argS,annotation&nbsp;not&nbsp;available,82.9
1218084.BBJK01000052_gene4157,BBJK01000052_gene4157,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000152_gene7611,BBJK01000152_gene7611,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000006_gene841,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,82.8
1218084.BBJK01000130_gene7134,BBJK01000130_gene7134,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000017_gene1951,BBJK01000017_gene1951,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000055_gene4215,BBJK01000055_gene4215,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000190_gene8049,BBJK01000190_gene8049,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000036_gene3353,BBJK01000036_gene3353,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000070_gene5026,BBJK01000070_gene5026,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000020_gene2104,BBJK01000020_gene2104,annotation&nbsp;not&nbsp;available,82.8
1218084.BBJK01000003_gene396,BBJK01000003_gene396,annotation&nbsp;not&nbsp;available,82.7
1218084.BBJK01000137_gene7279,purF,Amidophosphoribosyltransferase,82.7
1218084.BBJK01000002_gene284,BBJK01000002_gene284,annotation&nbsp;not&nbsp;available,82.7
1218084.BBJK01000187_gene8034,BBJK01000187_gene8034,annotation&nbsp;not&nbsp;available,82.7
1218084.BBJK01000058_gene4498,BBJK01000058_gene4498,annotation&nbsp;not&nbsp;available,82.7
1218084.BBJK01000017_gene1955,BBJK01000017_gene1955,annotation&nbsp;not&nbsp;available,82.7
1218084.BBJK01000073_gene5121,BBJK01000073_gene5121,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000003_gene450,BBJK01000003_gene450,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000003_gene517,BBJK01000003_gene517,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000002_gene288,BBJK01000002_gene288,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000052_gene4105,BBJK01000052_gene4105,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000043_gene3834,BBJK01000043_gene3834,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000001_gene56,BBJK01000001_gene56,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000007_gene1018,BBJK01000007_gene1018,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000036_gene3342,BBJK01000036_gene3342,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000007_gene1023,BBJK01000007_gene1023,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000017_gene1855,BBJK01000017_gene1855,annotation&nbsp;not&nbsp;available,82.6
1218084.BBJK01000160_gene7728,ureC,annotation&nbsp;not&nbsp;available,82.5
1218084.BBJK01000004_gene576,BBJK01000004_gene576,annotation&nbsp;not&nbsp;available,82.5
1218084.BBJK01000057_gene4338,rpmG,annotation&nbsp;not&nbsp;available,82.5
1218084.BBJK01000124_gene7005,BBJK01000124_gene7005,annotation&nbsp;not&nbsp;available,82.5
1218084.BBJK01000079_gene5481,ackA,Acetate&nbsp;kinase,82.4
1218084.BBJK01000078_gene5392,BBJK01000078_gene5392,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000093_gene6048,BBJK01000093_gene6048,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000042_gene3792,BBJK01000042_gene3792,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000110_gene6697,BBJK01000110_gene6697,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000080_gene5534,BBJK01000080_gene5534,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000108_gene6648,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,82.4
1218084.BBJK01000007_gene972,BBJK01000007_gene972,annotation&nbsp;not&nbsp;available,82.4
1218084.BBJK01000007_gene955,BBJK01000007_gene955,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000007_gene936,BBJK01000007_gene936,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000007_gene1105,BBJK01000007_gene1105,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000060_gene4612,BBJK01000060_gene4612,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000032_gene3118,BBJK01000032_gene3118,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000038_gene3575,BBJK01000038_gene3575,annotation&nbsp;not&nbsp;available,82.3
1218084.BBJK01000031_gene2989,BBJK01000031_gene2989,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000060_gene4676,BBJK01000060_gene4676,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000006_gene779,gshA,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000001_gene8,BBJK01000001_gene8,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000008_gene1217,BBJK01000008_gene1217,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000145_gene7420,BBJK01000145_gene7420,Aconitate&nbsp;hydratase,82.2
1218084.BBJK01000186_gene8024,BBJK01000186_gene8024,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000021_gene2294,BBJK01000021_gene2294,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000007_gene986,BBJK01000007_gene986,annotation&nbsp;not&nbsp;available,82.2
1218084.BBJK01000025_gene2526,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,82.1
1218084.BBJK01000001_gene22,BBJK01000001_gene22,annotation&nbsp;not&nbsp;available,82.1
1218084.BBJK01000133_gene7192,BBJK01000133_gene7192,annotation&nbsp;not&nbsp;available,82.1
1218084.BBJK01000057_gene4390,BBJK01000057_gene4390,annotation&nbsp;not&nbsp;available,82.1
1218084.BBJK01000183_gene7993,BBJK01000183_gene7993,annotation&nbsp;not&nbsp;available,82.1
1218084.BBJK01000152_gene7607,BBJK01000152_gene7607,annotation&nbsp;not&nbsp;available,82.1
1218084.BBJK01000079_gene5502,BBJK01000079_gene5502,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000214_gene8167,BBJK01000214_gene8167,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000146_gene7450,BBJK01000146_gene7450,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000008_gene1228,BBJK01000008_gene1228,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000099_gene6277,BBJK01000099_gene6277,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000101_gene6345,BBJK01000101_gene6345,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000127_gene7076,BBJK01000127_gene7076,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000037_gene3482,BBJK01000037_gene3482,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000004_gene584,BBJK01000004_gene584,annotation&nbsp;not&nbsp;available,82.0
1218084.BBJK01000125_gene7043,recR,Recombination&nbsp;protein&nbsp;RecR,82.0
1218084.BBJK01000055_gene4288,BBJK01000055_gene4288,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000090_gene5938,BBJK01000090_gene5938,Flavin&nbsp;prenyltransferase&nbsp;UbiX,81.9
1218084.BBJK01000153_gene7625,BBJK01000153_gene7625,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000127_gene7082,BBJK01000127_gene7082,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000042_gene3756,BBJK01000042_gene3756,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000089_gene5885,BBJK01000089_gene5885,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000079_gene5516,BBJK01000079_gene5516,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000164_gene7759,BBJK01000164_gene7759,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000117_gene6820,BBJK01000117_gene6820,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000075_gene5212,BBJK01000075_gene5212,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000038_gene3576,BBJK01000038_gene3576,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000098_gene6231,BBJK01000098_gene6231,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000037_gene3501,BBJK01000037_gene3501,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000016_gene1648,BBJK01000016_gene1648,annotation&nbsp;not&nbsp;available,81.9
1218084.BBJK01000023_gene2355,BBJK01000023_gene2355,annotation&nbsp;not&nbsp;available,81.8
1218084.BBJK01000143_gene7404,BBJK01000143_gene7404,annotation&nbsp;not&nbsp;available,81.8
1218084.BBJK01000055_gene4252,htpG,Chaperone&nbsp;protein&nbsp;HtpG,81.8
1218084.BBJK01000176_gene7938,kynU,Kynureninase,81.8
1218084.BBJK01000027_gene2629,lysS,annotation&nbsp;not&nbsp;available,81.8
1218084.BBJK01000037_gene3452,BBJK01000037_gene3452,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000006_gene716,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,81.7
1218084.BBJK01000006_gene820,BBJK01000006_gene820,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000006_gene763,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,81.7
1218084.BBJK01000030_gene2843,BBJK01000030_gene2843,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000072_gene5045,BBJK01000072_gene5045,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000189_gene8042,BBJK01000189_gene8042,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000031_gene3011,BBJK01000031_gene3011,Carbonic&nbsp;anhydrase,81.7
1218084.BBJK01000002_gene199,BBJK01000002_gene199,annotation&nbsp;not&nbsp;available,81.7
1218084.BBJK01000066_gene4942,BBJK01000066_gene4942,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000016_gene1664,BBJK01000016_gene1664,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000019_gene2061,BBJK01000019_gene2061,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000100_gene6306,BBJK01000100_gene6306,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000064_gene4812,thrS,Threonine--tRNA&nbsp;ligase,81.6
1218084.BBJK01000057_gene4385,BBJK01000057_gene4385,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000021_gene2189,BBJK01000021_gene2189,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000053_gene4171,BBJK01000053_gene4171,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000001_gene15,BBJK01000001_gene15,annotation&nbsp;not&nbsp;available,81.6
1218084.BBJK01000057_gene4323,clpS,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;adapter&nbsp;protein&nbsp;ClpS,81.6
1218084.BBJK01000055_gene4304,ppa,Inorganic&nbsp;pyrophosphatase,81.5
1218084.BBJK01000120_gene6887,BBJK01000120_gene6887,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000015_gene1588,BBJK01000015_gene1588,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000120_gene6882,BBJK01000120_gene6882,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000007_gene1029,BBJK01000007_gene1029,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000174_gene7905,BBJK01000174_gene7905,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000120_gene6877,BBJK01000120_gene6877,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000032_gene3146,BBJK01000032_gene3146,annotation&nbsp;not&nbsp;available,81.5
1218084.BBJK01000142_gene7359,BBJK01000142_gene7359,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000139_gene7317,BBJK01000139_gene7317,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000064_gene4832,BBJK01000064_gene4832,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000064_gene4824,BBJK01000064_gene4824,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000025_gene2567,BBJK01000025_gene2567,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000007_gene1106,BBJK01000007_gene1106,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000129_gene7115,BBJK01000129_gene7115,annotation&nbsp;not&nbsp;available,81.4
1218084.BBJK01000025_gene2486,BBJK01000025_gene2486,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000044_gene3871,BBJK01000044_gene3871,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000037_gene3493,BBJK01000037_gene3493,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000027_gene2621,iscS,Cysteine&nbsp;desulfurase&nbsp;IscS,81.3
1218084.BBJK01000063_gene4758,BBJK01000063_gene4758,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000002_gene212,BBJK01000002_gene212,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000017_gene1871,BBJK01000017_gene1871,annotation&nbsp;not&nbsp;available,81.3
1218084.BBJK01000047_gene3993,BBJK01000047_gene3993,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000006_gene827,BBJK01000006_gene827,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000019_gene1993,BBJK01000019_gene1993,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000163_gene7754,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',81.2
1218084.BBJK01000031_gene2987,BBJK01000031_gene2987,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000037_gene3507,BBJK01000037_gene3507,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000120_gene6909,BBJK01000120_gene6909,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000114_gene6746,BBJK01000114_gene6746,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000052_gene4168,BBJK01000052_gene4168,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000031_gene2980,BBJK01000031_gene2980,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000060_gene4607,BBJK01000060_gene4607,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000031_gene2979,BBJK01000031_gene2979,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000103_gene6472,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,81.2
1218084.BBJK01000020_gene2092,BBJK01000020_gene2092,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000016_gene1723,BBJK01000016_gene1723,annotation&nbsp;not&nbsp;available,81.2
1218084.BBJK01000069_gene4994,BBJK01000069_gene4994,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,81.2
1218084.BBJK01000001_gene86,BBJK01000001_gene86,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000020_gene2096,BBJK01000020_gene2096,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000122_gene6933,BBJK01000122_gene6933,RNA-binding&nbsp;protein&nbsp;Hfq,81.1
1218084.BBJK01000107_gene6582,BBJK01000107_gene6582,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000045_gene3962,BBJK01000045_gene3962,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000037_gene3472,BBJK01000037_gene3472,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000169_gene7835,BBJK01000169_gene7835,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000155_gene7668,BBJK01000155_gene7668,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000073_gene5113,BBJK01000073_gene5113,annotation&nbsp;not&nbsp;available,81.1
1218084.BBJK01000072_gene5086,BBJK01000072_gene5086,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000079_gene5486,BBJK01000079_gene5486,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000015_gene1562,BBJK01000015_gene1562,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000003_gene314,BBJK01000003_gene314,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000034_gene3198,BBJK01000034_gene3198,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000060_gene4656,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,81.0
1218084.BBJK01000206_gene8149,BBJK01000206_gene8149,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000054_gene4180,priB,Primosomal&nbsp;replication&nbsp;protein&nbsp;N,81.0
1218084.BBJK01000041_gene3692,BBJK01000041_gene3692,annotation&nbsp;not&nbsp;available,81.0
1218084.BBJK01000091_gene6011,BBJK01000091_gene6011,annotation&nbsp;not&nbsp;available,80.9
1218084.BBJK01000100_gene6298,BBJK01000100_gene6298,annotation&nbsp;not&nbsp;available,80.9
1218084.BBJK01000115_gene6757,BBJK01000115_gene6757,annotation&nbsp;not&nbsp;available,80.9
1218084.BBJK01000052_gene4162,BBJK01000052_gene4162,annotation&nbsp;not&nbsp;available,80.9
1218084.BBJK01000027_gene2641,ftsB,Cell&nbsp;division&nbsp;protein&nbsp;FtsB,80.9
1218084.BBJK01000196_gene8092,BBJK01000196_gene8092,annotation&nbsp;not&nbsp;available,80.9
1218084.BBJK01000185_gene8015,BBJK01000185_gene8015,annotation&nbsp;not&nbsp;available,80.8
1218084.BBJK01000060_gene4678,rhlE,ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;RhlE,80.8
1218084.BBJK01000059_gene4521,BBJK01000059_gene4521,annotation&nbsp;not&nbsp;available,80.8
1218084.BBJK01000103_gene6457,BBJK01000103_gene6457,annotation&nbsp;not&nbsp;available,80.8
1218084.BBJK01000091_gene6023,BBJK01000091_gene6023,annotation&nbsp;not&nbsp;available,80.8
1218084.BBJK01000072_gene5073,BBJK01000072_gene5073,annotation&nbsp;not&nbsp;available,80.8
1218084.BBJK01000103_gene6473,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,80.7
1218084.BBJK01000036_gene3319,BBJK01000036_gene3319,annotation&nbsp;not&nbsp;available,80.7
1218084.BBJK01000064_gene4791,BBJK01000064_gene4791,annotation&nbsp;not&nbsp;available,80.7
1218084.BBJK01000027_gene2653,BBJK01000027_gene2653,annotation&nbsp;not&nbsp;available,80.7
1218084.BBJK01000150_gene7547,ugpC,Sn-glycerol-3-phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;UgpC,80.7
1218084.BBJK01000041_gene3688,BBJK01000041_gene3688,annotation&nbsp;not&nbsp;available,80.7
1218084.BBJK01000006_gene737,BBJK01000006_gene737,Peptide&nbsp;deformylase,80.6
1218084.BBJK01000017_gene1963,BBJK01000017_gene1963,annotation&nbsp;not&nbsp;available,80.6
1218084.BBJK01000017_gene1897,BBJK01000017_gene1897,annotation&nbsp;not&nbsp;available,80.6
1218084.BBJK01000028_gene2745,pyrH,Uridylate&nbsp;kinase,80.6
1218084.BBJK01000101_gene6344,BBJK01000101_gene6344,annotation&nbsp;not&nbsp;available,80.6
1218084.BBJK01000007_gene1000,BBJK01000007_gene1000,annotation&nbsp;not&nbsp;available,80.6
